Time,BTS1
1541401256000,11.851466
1541401261000,3.414066
1541401266000,2.40924
1541401271000,3.111804
1541401276000,2.685819
1541401281000,3.593386
1541401286000,4.328301
1541401291000,2.590269
1541401296000,3.847936
1541401301000,2.772013
1541401306000,2.407952
1541401311000,3.494075
1541401316000,2.411165
1541401321000,3.390233
1541401326000,2.930726
1541401331000,2.182436
1541401336000,3.195238
1541401341000,2.029767
1541401346000,3.278181
1541401351000,2.991733
1541401356000,3.395587
1541401361000,3.350753
1541401366000,2.911225
1541401371000,2.865573
1541401376000,2.931541
1541401381000,2.443374
1541401386000,3.329185
1541401391000,2.42121
1541401396000,3.022334
1541401401000,2.998611
1541401406000,3.261664
1541401411000,2.942588
1541401416000,2.542577
1541401421000,3.336941
1541401426000,2.557621
1541401431000,2.657649
1541401436000,2.931602
1541401441000,2.90729
1541401446000,3.22784
1541401451000,2.734041
1541401456000,2.574862
1541401461000,2.687806
1541401466000,4.136993
1541401471000,2.468089
1541401476000,3.448743
1541401481000,3.433436
1541401486000,2.473451
1541401491000,2.063925
1541401496000,2.387647
1541401501000,2.390383
1541401506000,2.747442
1541401511000,4.030989
1541401516000,3.007433
1541401521000,2.728217
1541401526000,3.212416
1541401531000,2.465942
1541401536000,3.336696
1541401541000,3.563821
1541401546000,2.785915
1541401551000,2.292109
1541401556000,2.029556
1541401561000,3.68123
1541401566000,2.392596
1541401571000,2.827436
1541401576000,2.660818
1541401581000,3.43688
1541401586000,2.806729
1541401591000,3.248018
1541401596000,5.017403
1541401601000,2.501138
1541401606000,3.816199
1541401611000,3.314724
1541401616000,3.608507
1541401621000,2.569492
1541401626000,2.696752
1541401631000,3.761338
1541401636000,3.243649
1541401641000,3.631818
1541401646000,2.930936
1541401651000,3.007522
1541401656000,2.735511
1541401661000,3.585546
1541401666000,2.522893
1541401671000,2.303536
1541401676000,4.117828
1541401681000,2.66173
1541401686000,3.386291
1541401691000,2.737264
1541401696000,2.305731
1541401701000,1.97312
1541401706000,3.042558
1541401711000,3.876171
1541401716000,2.974103
1541401721000,2.106326
1541401726000,2.824548
1541401731000,2.53305
1541401736000,2.59574
1541401741000,2.672816
1541401746000,2.489437
1541401751000,2.873707
1541401756000,3.122767
1541401761000,3.452948
1541401766000,3.718854
1541401771000,3.091488
1541401776000,2.754579
1541401781000,3.272114
1541401786000,3.02644
1541401791000,2.92368
1541401796000,2.897764
1541401801000,3.740011
1541401806000,3.831986
1541401811000,2.210645
1541401816000,2.835881
1541401821000,3.886447
1541401826000,3.958567
1541401831000,3.010115
1541401836000,2.644597
1541401841000,2.482744
1541401846000,2.93315
1541401851000,3.548774
1541401856000,2.956892
1541401861000,3.162709
1541401866000,2.625865
1541401871000,2.896229
1541401876000,2.755443
1541401881000,3.31578
1541401886000,3.233116
1541401891000,2.883091
1541401896000,2.54737
1541401901000,2.838736
1541401906000,2.307363
1541401911000,4.069009
1541401916000,4.369456
1541401921000,4.213929
1541401926000,2.478146
1541401931000,3.032907
1541401936000,3.131106
1541401941000,2.563155
1541401946000,3.637926
1541401951000,3.026219
1541401956000,2.974432
1541401961000,2.695131
1541401966000,2.388876
1541401971000,3.358389
1541401976000,3.23987
1541401981000,2.724518
1541401986000,3.263357
1541401991000,2.68078
1541401996000,3.852157
1541402001000,2.894003
1541402006000,2.975365
1541402011000,4.039406
1541402016000,3.292866
1541402021000,2.510936
1541402026000,3.82902
1541402031000,2.559449
1541402036000,2.460135
1541402041000,3.222199
1541402046000,3.075134
1541402051000,3.537076
1541402056000,3.218644
1541402061000,3.245835
1541402066000,3.113483
1541402071000,2.127431
1541402076000,2.804769
1541402081000,2.671535
1541402086000,2.829525
1541402091000,3.060891
1541402096000,3.659841
1541402101000,2.466634
1541402106000,2.678774
1541402111000,3.710874
1541402116000,2.150292
1541402121000,3.398581
1541402126000,2.524713
1541402131000,2.41623
1541402136000,3.118708
1541402141000,3.273697
1541402146000,3.566628
1541402151000,2.547489
1541402156000,2.842484
1541402161000,2.746963
1541402166000,3.753557
1541402171000,2.523903
1541402176000,2.17653
1541402181000,2.400465
1541402186000,2.372109
1541402191000,4.317254
1541402196000,2.708348
1541402201000,2.550908
1541402206000,3.215158
1541402211000,2.785845
1541402216000,3.960208
1541402221000,3.746293
1541402226000,2.23947
1541402231000,3.391277
1541402236000,4.113538
1541402241000,2.200267
1541402246000,2.449098
1541402251000,3.698651
1541402256000,2.841847
1541402261000,3.458733
1541402266000,2.726579
1541402271000,3.136359
1541402276000,3.156853
1541402281000,2.560276
1541402286000,2.913365
1541402291000,2.731344
1541402296000,3.510767
1541402301000,2.12113
1541402306000,3.951803
1541402311000,2.738144
1541402316000,3.635408
1541402321000,3.275661
1541402326000,2.743526
1541402331000,2.860107
1541402336000,2.945281
1541402341000,4.290005
1541402346000,3.182269
1541402351000,4.385232
1541402356000,3.392307
1541402361000,2.457992
1541402366000,2.826708
1541402371000,3.779104
1541402376000,3.230612
1541402381000,2.397627
1541402386000,3.6886
1541402391000,5.341969
1541402396000,4.460128
1541402401000,2.575786
1541402406000,2.376741
1541402411000,4.665538
1541402416000,4.599771
1541402421000,3.432764
1541402426000,2.722479
1541402431000,2.542513
1541402436000,3.333385
1541402441000,2.822771
1541402446000,3.172031
1541402451000,3.333084
1541402456000,2.584796
1541402461000,2.679382
1541402466000,4.138854
1541402471000,3.947
1541402476000,4.435854
1541402481000,3.39782
1541402486000,2.80269
1541402491000,2.667862
1541402496000,3.171457
1541402501000,3.198213
1541402506000,2.918706
1541402511000,3.748083
1541402516000,2.665621
1541402521000,3.47118
1541402526000,3.556925
1541402531000,2.371716
1541402536000,2.967658
1541402541000,3.55183
1541402546000,3.074031
1541402551000,3.0997
1541402556000,5.137233
1541402561000,3.434291
1541402566000,3.691028
1541402571000,3.46392
1541402576000,3.586899
1541402581000,3.259329
1541402586000,3.661476
1541402591000,2.650032
1541402596000,3.363258
1541402601000,2.92198
1541402606000,3.490308
1541402611000,2.893194
1541402616000,4.123785
1541402621000,2.372437
1541402626000,2.762208
1541402631000,2.72987
1541402636000,2.548599
1541402641000,3.777825
1541402646000,2.569416
1541402651000,3.243357
1541402656000,3.436408
1541402661000,4.083873
1541402666000,3.524726
1541402671000,2.891462
1541402676000,3.35483
1541402681000,3.571375
1541402686000,2.949056
1541402691000,2.908124
1541402696000,2.790121
1541402701000,2.71834
1541402706000,2.975175
1541402711000,3.064214
1541402716000,3.543333
1541402721000,2.88987
1541402726000,2.545067
1541402731000,2.57884
1541402736000,2.530409
1541402741000,3.44965
1541402746000,4.095521
1541402751000,3.562734
1541402756000,4.149772
1541402761000,2.844713
1541402766000,4.039745
1541402771000,3.085263
1541402776000,3.741758
1541402781000,3.720664
1541402786000,2.831232
1541402791000,3.269692
1541402796000,2.628575
1541402801000,3.776185
1541402806000,3.823784
1541402811000,3.088133
1541402816000,3.313479
1541402821000,2.558827
1541402826000,3.428777
1541402831000,5.135377
1541402836000,2.864583
1541402841000,4.032273
1541402846000,3.672817
1541402851000,3.069961
1541402856000,2.958473
1541402861000,3.510629
1541402866000,2.750567
1541402871000,2.923617
1541402876000,2.447101
1541402881000,2.690558
1541402886000,2.846703
1541402891000,2.906426
1541402896000,2.801909
1541402901000,4.051464
1541402906000,3.42543
1541402911000,2.820977
1541402916000,2.809679
1541402921000,2.990957
1541402926000,2.615521
1541402931000,3.271902
1541402936000,3.320844
1541402941000,2.064799
1541402946000,2.912244
1541402951000,2.444697
1541402956000,4.047163
1541402961000,2.926871
1541402966000,2.984657
1541402971000,3.411679
1541402976000,2.592112
1541402981000,3.402433
1541402986000,3.25227
1541402991000,2.592688
1541402996000,3.185026
1541403001000,2.670808
1541403006000,2.410639
1541403011000,2.607433
1541403016000,4.582223
1541403021000,3.042854
1541403026000,2.68509
1541403031000,2.358724
1541403036000,3.201495
1541403041000,2.403213
1541403046000,2.421297
1541403051000,3.425818
1541403056000,2.450933
1541403061000,2.8533
1541403066000,3.584711
1541403071000,2.826699
1541403076000,2.755183
1541403081000,2.6273
1541403086000,2.857865
1541403091000,3.123492
1541403096000,3.071383
1541403101000,3.375001
1541403106000,2.78497
1541403111000,3.657489
1541403116000,3.095306
1541403121000,2.96723
1541403126000,2.60413
1541403131000,2.951838
1541403136000,2.508575
1541403141000,2.549272
1541403146000,3.196664
1541403151000,2.209008
1541403156000,3.251142
1541403161000,3.772434
1541403166000,3.734433
1541403171000,3.096904
1541403176000,3.52165
1541403181000,3.120324
1541403186000,2.944996
1541403191000,2.557382
1541403196000,2.685922
1541403201000,2.927502
1541403206000,2.658719
1541403211000,2.776774
1541403216000,4.134039
1541403221000,2.705547
1541403226000,3.26977
1541403231000,2.954585
1541403236000,3.052397
1541403241000,3.135929
1541403246000,2.162101
1541403251000,3.595052
1541403256000,2.735345
1541403261000,2.633834
1541403266000,2.561136
1541403271000,2.847992
1541403276000,3.552139
1541403281000,2.766183
1541403286000,4.160783
1541403291000,2.393648
1541403296000,3.23929
1541403301000,2.474643
1541403306000,2.767384
1541403311000,3.087505
1541403316000,2.11252
1541403321000,3.245404
1541403326000,2.82206
1541403331000,3.59822
1541403336000,2.866472
1541403341000,2.728547
1541403346000,3.20253
1541403351000,3.120507
1541403356000,4.371595
1541403361000,2.161869
1541403366000,3.483841
1541403371000,3.065699
1541403376000,3.277007
1541403381000,2.974602
1541403386000,2.648415
1541403391000,2.360503
1541403396000,3.555689
1541403401000,3.469347
1541403406000,2.707777
1541403411000,2.629615
1541403416000,3.286222
1541403421000,3.362824
1541403426000,2.383227
1541403431000,3.092042
1541403436000,3.057729
1541403441000,3.405539
1541403446000,2.375154
1541403451000,3.312178
1541403456000,3.781794
1541403461000,2.580729
1541403466000,2.055304
1541403471000,3.03601
1541403476000,3.026474
1541403481000,3.413268
1541403486000,3.036963
1541403491000,3.072938
1541403496000,3.152992
1541403501000,3.151416
1541403506000,4.232688
1541403511000,3.902736
1541403516000,2.833636
1541403521000,2.593041
1541403526000,2.904867
1541403531000,3.595876
1541403536000,4.474343
